Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation
1708474899.938287,VRU_Adult_Using_Bicycle,10.562415440877288,0.89,-2.8188478946685884,1.53,-3.501750389734902,1.38,-159.03896764828565
1708474931.138287,Passenger_Vehicle,14.977586559627369,2.6,-0.016295599083053895,5.08,-3.6480690189029854,1.85,97.57034729516151
1708474931.238287,Passenger_Vehicle,15.231471526913529,2.6,-1.0431583534653597,5.08,-3.64856139624991,1.85,102.9604420546544
1708474931.438287,Passenger_Vehicle,15.701823572958672,2.6,-3.315195454705147,5.08,-3.4960017204284664,1.85,97.63434956352891
1708474932.938287,Passenger_Vehicle,16.792864465221918,2.6,-18.7744202761306,5.08,-3.301808332659534,1.85,-79.51667101590718
1708474932.938287,VRU_Adult_Using_Bicycle,10.57085291544597,0.89,-2.8152425289154146,1.53,-3.4986559549967438,1.38,-160.28756176965837
1708474933.038287,Passenger_Vehicle,16.85631865839805,2.6,-20.09547753487864,5.08,-3.336594639285918,1.85,-85.9164836805025
1708474933.038287,VRU_Adult_Using_Bicycle,10.620346307754527,0.89,-2.7756385803222727,1.53,-3.478903532028196,1.38,-160.74035744177058
1708474933.038287,Passenger_Vehicle,16.943076592904553,2.6,-18.566029937179003,5.08,-3.4160115630538375,1.85,177.20003283987552
1708474933.138287,Passenger_Vehicle,16.826519939261424,2.6,-21.207382497653157,5.08,-3.3901354359908837,1.85,-85.66185420896724
1708474933.138287,Passenger_Vehicle,16.895355366645976,2.6,-20.498868090041142,5.08,-3.471136417794735,1.85,-92.39013455179023
1708474933.238287,Passenger_Vehicle,16.985434035180322,2.6,-22.395949404004597,5.08,-3.4283063143072,1.85,-85.40990287324561
1708474933.3382869,Passenger_Vehicle,16.973398685455322,2.6,-23.252858181389012,5.08,-3.3535713906190834,1.85,-85.61095321676802
1708474933.3382869,Passenger_Vehicle,16.954303471729013,2.6,-23.258089643536195,5.08,-3.35543591807587,1.85,-85.85717615212545
1708474933.438287,Passenger_Vehicle,16.914873382023405,2.6,-24.229797363281254,5.08,-3.4087839807782854,1.85,-87.3242073786549
1708474933.538287,Passenger_Vehicle,16.89936868909379,2.6,-25.28347305512764,5.08,-3.38388288188988,1.85,-88.65647531779811
1708474933.538287,Passenger_Vehicle,16.89666009285081,2.6,-25.291504470395374,5.08,-3.384871882452092,1.85,-88.996436756274
1708474933.638287,Passenger_Vehicle,16.92490563809293,2.6,-26.382006135959074,5.08,-3.4462272333867343,1.85,-88.24192674530832
1708474933.738287,Passenger_Vehicle,16.81107507852408,2.6,-27.178958423321067,5.08,-3.3257652832911564,1.85,-91.27019735074205
1708474933.8382869,Passenger_Vehicle,16.77806659900781,2.6,-28.82617248188366,5.08,-3.3858692736336673,1.85,-86.26819240730407
1708474933.938287,Passenger_Vehicle,16.633376385792197,2.6,-30.657257493720003,5.08,-3.442935254200396,1.85,92.34695024288445
1708474934.038287,Passenger_Vehicle,16.523239461681513,2.6,-31.970926139928125,5.08,-3.480809930004651,1.85,99.5317570991395
1708474934.138287,Passenger_Vehicle,16.50429092041434,2.6,-32.51966465989205,5.08,-3.4742580243985945,1.85,-80.1494667672342
1708474934.238287,Passenger_Vehicle,16.418465808946262,2.6,-33.30190907692423,5.08,-3.4600785897702586,1.85,-82.70700518497432
1708474934.3382869,Passenger_Vehicle,16.141007622083034,2.6,-34.48413213094076,5.08,-3.291653652985891,1.85,-85.62939991670854
1708474934.438287,Passenger_Vehicle,16.046899678755786,2.6,-36.39411163330079,5.08,-3.284556262347163,1.85,100.60971506925252
1708474934.538287,Passenger_Vehicle,15.813510234539333,2.6,-36.87554491483249,5.08,-3.287362117033738,1.85,-78.19871046601409
1708474934.638287,Passenger_Vehicle,15.632055366740515,2.6,-37.48507207982681,5.08,-3.170792081776787,1.85,-75.4529655045437
1708474934.738287,Passenger_Vehicle,16.00661030411721,2.6,-39.07696360349656,5.08,-3.364884674549103,1.85,-74.17233037509433
1708474934.938287,Passenger_Vehicle,17.303919205298794,2.6,-41.6293939443735,5.08,-3.0905114412307735,1.85,-47.881609086177704
1708474935.038287,VRU_Adult_Using_Bicycle,10.544709523518888,0.89,-2.81647117932638,1.53,-3.507364034652708,1.38,-162.85003292587746
1708474935.038287,Passenger_Vehicle,18.989177131652838,2.6,-41.72364854812623,5.08,-3.1273699402809148,1.85,-80.38737046039878
1708474937.138287,Passenger_Vehicle,19.64585897657607,2.6,-23.028914486920396,5.08,-3.041539518921463,1.85,90.76075914800752
1708474937.3382869,Passenger_Vehicle,19.430849820375446,2.6,-21.51332286000252,5.08,-3.064028613269329,1.85,92.26251711489583
1708474937.438287,Passenger_Vehicle,19.325135661709698,2.6,-20.660397406547304,5.08,-3.022142940951932,1.85,97.7202090849691
1708474937.638287,Passenger_Vehicle,18.960491396346185,2.6,-19.217136347068934,5.08,-3.080353359006486,1.85,97.06525231727375
1708474937.738287,Passenger_Vehicle,18.871222813924156,2.6,-18.766997051239017,5.08,-3.1170324722925824,1.85,94.9484387692073
1708474937.8382869,Passenger_Vehicle,18.68689476816278,2.6,-18.445180909675468,5.08,-3.157993990078307,1.85,99.150697912452
1708474937.938287,Passenger_Vehicle,18.569951607630806,2.6,-17.796364105664768,5.08,-3.1306743713525624,1.85,102.2655597804216
1708474938.038287,Passenger_Vehicle,18.22613350225955,2.6,-17.169140407017302,5.08,-3.1827035388168023,1.85,103.06098021389595
1708474938.138287,Passenger_Vehicle,17.93699512075871,2.6,-16.506340412383388,5.08,-3.2590340198354526,1.85,104.75277874458963
1708474938.238287,Passenger_Vehicle,17.60533391861689,2.6,-16.00550803684053,5.08,-3.2653944265274775,1.85,104.54627131460914
1708474938.3382869,Passenger_Vehicle,17.417616090109185,2.6,-15.633048079734628,5.08,-3.2838880904885226,1.85,114.24416723779913
1708474938.438287,Passenger_Vehicle,17.215587368011477,2.6,-15.142363376617434,5.08,-3.293415050506592,1.85,113.71932359408936
1708474938.538287,Passenger_Vehicle,16.903801004937357,2.6,-14.833414666196136,5.08,-3.2992556450214794,1.85,121.34981876520614
1708474938.638287,Passenger_Vehicle,16.64798290171522,2.6,-14.605966628865994,5.08,-3.2548436154710485,1.85,118.11203408597
1708474938.738287,Passenger_Vehicle,16.51274508237839,2.6,-14.295075575510664,5.08,-3.4068780243396763,1.85,117.46192071600291
1708474938.8382869,Passenger_Vehicle,16.12001477970797,2.6,-14.048989969141346,5.08,-3.3343169058070465,1.85,115.48568567955223
1708474938.938287,Passenger_Vehicle,15.855318871411413,2.6,-13.679841041564943,5.08,-3.3084509101780983,1.85,133.04597876657039
1708474939.038287,Passenger_Vehicle,15.555129489383186,2.6,-13.486087876397214,5.08,-3.3752058003399825,1.85,134.7850551013527
1708474939.138287,Passenger_Vehicle,15.19334089433825,2.6,-13.142579259099188,5.08,-3.4376486249872156,1.85,137.0490622038813
1708474939.3382869,VRU_Adult_Using_Bicycle,9.89851741790772,0.96,-4.405830669403084,1.64,-3.856317090988159,1.65,-125.17659103186523
1708474939.3382869,Passenger_Vehicle,14.63969053162469,2.6,-12.60492579142253,5.08,-3.44557269414266,1.85,135.15591129980817
1708474939.438287,VRU_Adult_Using_Bicycle,9.758763313293464,0.89,-4.676837563514716,1.53,-3.9247228503227234,1.38,-125.9729035016112
1708474939.438287,Passenger_Vehicle,14.466292407777578,2.6,-12.562219407823354,5.08,-3.4693366752730475,1.85,158.66501565895268
1708474939.538287,VRU_Adult_Using_Bicycle,9.54169686635336,0.89,-4.950316429138191,1.53,-4.018121878306071,1.38,-122.88737481871186
1708474939.638287,VRU_Adult_Using_Bicycle,9.23206043243409,0.96,-5.451329072316494,1.64,-4.1595832506815595,1.65,52.82712159852126
1708474939.738287,VRU_Adult_Using_Bicycle,9.211820125579841,0.96,-5.517827431360889,1.64,-4.171609004338583,1.65,-116.00174868798538
1708474939.738287,Passenger_Vehicle,13.86105827663256,2.6,-12.179115875907568,5.08,-3.331055138422095,1.85,168.31580877396635
1708474940.438287,Passenger_Vehicle,13.422885438670288,2.6,-11.988921206930414,5.08,-3.669619912686555,1.85,71.77545912230237
1708474940.538287,Passenger_Vehicle,11.119298501448206,2.6,-11.219677491621546,5.08,-3.3736394968899814,1.85,41.29516513524546
1708474940.538287,Passenger_Vehicle,13.13538167283342,2.6,-11.876906987783075,5.08,-3.6599140489423596,1.85,-162.35812557204852
