Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation,bin_idx
1710440826.666342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.22864598035813,0.97,-19.820155978202823,1.56,-3.3557992726564407,1.68,-70.83718512894922,000011
1710440826.666342,VRU_Adult,22.93094660441081,0.83,-25.52571907043457,0.75,-2.6919120947519932,1.59,140.47251183942885,000011
1710440826.7663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.240963862492494,0.97,-19.8363684140719,1.56,-3.2952528366675744,1.68,-68.73798942093097,000012
1710440826.7663422,VRU_Adult,22.926747783537838,0.83,-25.52939974877142,0.75,-2.7107850890005785,1.59,144.95069237316918,000012
1710440826.866342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.281890630722053,0.97,-19.90555846691132,1.56,-3.3492900431156163,1.68,-68.1890571778302,000013
1710440826.866342,VRU_Adult,22.93070471286774,0.83,-25.521240055561066,0.75,-2.6542616561055175,1.59,136.3701766339692,000013
1710440826.9663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.275699297587083,0.97,-19.83218924204509,1.56,-3.3572164641486277,1.68,-65.11950727050404,000014
1710440826.9663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,23.87381057739258,0.97,-30.3912052154541,1.56,-2.3482682657241813,1.68,-72.39380005623343,000014
1710440826.9663422,VRU_Adult,22.930835723876957,0.83,-25.52833516669996,0.75,-2.68203075726827,1.59,143.85563204205596,000014
1710440827.066342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.308768391609197,0.97,-19.853661417961128,1.56,-3.3435385972261433,1.68,-70.44009182357658,000015
1710440827.066342,VRU_Adult,22.941277874840633,0.83,-25.529006110297313,0.75,-2.6669292648633323,1.59,136.09794734554296,000015
1710440827.166342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.340209543704994,0.97,-19.898230433464057,1.56,-3.307314693927765,1.68,-73.91624378563773,000016
1710440827.166342,VRU_Adult,22.926214377085373,0.83,-25.525386068556045,0.75,-2.677862862745921,1.59,145.56107118653023,000016
1710440827.2663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.340847015380861,0.97,-19.973491311073307,1.56,-3.3019029200077057,1.68,-75.92943713209803,000017
1710440827.2663422,VRU_Adult,22.927521069844566,0.83,-25.52678031921387,0.75,-2.673412251472473,1.59,139.61617104751923,000017
1710440827.366342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.382746900830957,0.97,-19.95679814474924,1.56,-3.169242262840271,1.68,-68.60535901858137,000018
1710440827.366342,VRU_Adult,22.960838079452518,0.83,-25.53521412611008,0.75,-2.660643734037876,1.59,129.0172631048409,000018
1710440827.4663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.398489727693448,0.97,-20.061730553122132,1.56,-3.251009057549869,1.68,-79.28883045649783,000019
1710440827.4663422,VRU_Adult,22.90826854705811,0.83,-25.525560061136886,0.75,-2.6471760988235475,1.59,144.12601724352174,000019
1710440827.566342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.451558730181532,0.97,-20.118389690623566,1.56,-3.2929741074057186,1.68,-76.89013914791778,000020
1710440827.566342,VRU_Adult,22.92722014224891,0.83,-25.518263498942062,0.75,-2.6461193055817573,1.59,143.65708011836858,000020
1710440827.666342,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.422225839951466,0.97,-20.114056531120756,1.56,-3.2681882381439213,1.68,-72.63499067001922,000021
1710440827.666342,VRU_Adult,22.92814095815023,0.83,-25.513443819681804,0.75,-2.6670575857162473,1.59,136.27615018554812,000021
1710440827.7663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,12.470158517360693,0.97,-20.19637882709504,1.56,-3.27519690990448,1.68,-75.3780217190328,000022
1710440827.7663422,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,24.308887390863326,0.97,-32.590643564860024,1.56,-2.232385737555367,1.68,-72.29935555981336,000022
1710440827.7663422,VRU_Adult,22.927914981184337,0.83,-25.52957738679031,0.75,-2.674903631210327,1.59,142.46078933300583,000022
