Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation
1708454204.961737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.105100313822433,0.99,-4.781791528066005,1.12,-3.4250460863113408,1.58,111.90281468636343
1708454204.961737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.44536918640137,0.99,-5.0115250205993656,1.12,-3.2957113170623775,1.58,125.42085852417682
1708454205.061737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.119093894958503,0.99,-4.732433080673225,1.12,-3.4544515609741215,1.58,96.76155165489436
1708454205.061737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.460498046875003,0.99,-5.040288543701174,1.12,-3.2573307418823236,1.58,116.0049516824282
1708454205.161737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.110888004302986,0.99,-4.709542274475104,1.12,-3.348519206047058,1.58,112.64863299065208
1708454205.161737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.48016452789307,0.99,-5.05355877535684,1.12,-3.2482118691716866,1.58,118.42802374801619
1708454205.2617369,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.10126342773438,0.99,-4.752321624755866,1.12,-3.3508985519409187,1.58,113.35270082514708
1708454205.2617369,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.485680873577415,0.99,-5.0500343579512394,1.12,-3.245875211862417,1.58,121.19569834844565
1708454205.361737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.10426167079381,0.99,-4.755132334572934,1.12,-3.3583780016217917,1.58,114.83129447107825
1708454205.361737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.494500364576066,0.99,-5.05838807991573,1.12,-3.2577337707792005,1.58,120.97634629789403
1708454205.461737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.074609120686855,0.99,-4.698931852976488,1.12,-3.393337527910869,1.58,104.88139823538124
1708454205.461737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.442821329290215,0.99,-5.034400318608143,1.12,-3.2888025803999463,1.58,123.72950356014472
1708454205.561737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.103244781494144,0.99,-4.733656065804624,1.12,-3.412000553948539,1.58,92.3315646363445
1708454205.561737,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,21.4230553199505,0.99,-4.994212495869606,1.12,-3.2887124357552353,1.58,124.91298944874477
